iter	Passed	Remaining
658	2023	1047
659	2027	1044
660	2030	1041
661	2033	1038
662	2037	1035
663	2040	1032
664	2049	1032
665	2052	1029
666	2055	1026
667	2057	1022
668	2060	1019
669	2063	1016
670	2066	1013
671	2069	1009
672	2072	1007
673	2076	1004
674	2079	1001
675	2081	997
676	2084	994
677	2087	991
678	2090	988
679	2093	985
680	2096	981
681	2099	978
682	2105	977
683	2108	974
684	2111	970
685	2114	967
686	2116	964
687	2119	961
688	2122	958
689	2125	954
690	2136	955
691	2139	952
692	2143	949
693	2145	946
694	2148	942
695	2151	939
696	2154	936
697	2156	933
698	2159	929
699	2162	926
700	2165	923
701	2168	920
702	2171	917
703	2174	914
704	2177	910
705	2179	907
706	2182	904
707	2184	901
708	2187	897
709	2190	894
710	2193	891
711	2196	888
712	2198	885
713	2201	881
714	2204	878
715	2206	875
716	2209	872
717	2212	868
718	2214	865
719	2217	862
720	2220	859
721	2223	856
722	2225	852
723	2229	849
724	2231	846
725	2234	843
726	2237	840
727	2240	837
728	2244	834
729	2246	831
730	2249	827
731	2252	824
732	2255	821
733	2258	818
734	2261	815
735	2264	812
736	2267	809
737	2270	806
738	2273	802
739	2276	799
740	2278	796
741	2281	793
742	2284	790
743	2287	787
744	2290	784
745	2293	780
746	2295	777
747	2298	774
748	2301	771
749	2303	767
750	2306	764
751	2309	761
752	2313	758
753	2317	755
754	2319	752
755	2322	749
756	2325	746
757	2328	743
758	2331	740
759	2334	737
760	2336	733
761	2340	730
762	2342	727
763	2345	724
764	2348	721
765	2351	718
766	2354	715
767	2357	712
768	2360	709
769	2362	705
770	2365	702
771	2368	699
772	2370	696
773	2373	693
774	2377	690
775	2380	687
776	2382	683
777	2386	680
778	2389	677
779	2392	674
780	2395	671
781	2398	668
782	2401	665
783	2404	662
784	2407	659
785	2410	656
786	2412	652
787	2415	649
788	2418	646
789	2420	643
790	2423	640
791	2426	637
792	2429	634
793	2432	631
794	2434	627
795	2438	625
796	2441	621
797	2444	618
798	2447	615
799	2450	612
800	2452	609
801	2455	606
802	2458	603
803	2460	599
804	2463	596
805	2466	593
806	2468	590
807	2471	587
808	2475	584
809	2478	581
810	2481	578
811	2483	575
812	2487	572
813	2489	568
814	2492	565
815	2495	562
816	2498	559
817	2501	556
818	2504	553
819	2507	550
820	2510	547
821	2513	544
822	2516	541
823	2519	538
824	2522	534
825	2525	531
826	2527	528
827	2530	525
828	2533	522
829	2536	519
830	2539	516
831	2542	513
832	2546	510
833	2549	507
834	2552	504
835	2555	501
836	2558	498
837	2560	495
838	2563	491
839	2567	488
840	2569	485
841	2572	482
842	2575	479
843	2577	476
844	2580	473
845	2583	470
846	2585	467
847	2588	463
848	2591	460
849	2593	457
850	2596	454
851	2599	451
852	2601	448
853	2604	445
854	2607	442
855	2611	439
856	2613	436
857	2616	433
858	2619	429
859	2621	426
860	2624	423
861	2627	420
862	2629	417
863	2632	414
864	2636	411
865	2639	408
866	2642	405
867	2644	402
868	2647	399
869	2650	396
870	2653	392
871	2655	389
872	2658	386
873	2662	383
874	2665	380
875	2667	377
876	2670	374
877	2673	371
878	2676	368
879	2678	365
880	2681	362
881	2684	359
882	2687	356
883	2689	352
884	2692	349
885	2695	346
886	2698	343
887	2701	340
888	2704	337
889	2707	334
890	2709	331
891	2712	328
892	2715	325
893	2718	322
894	2720	319
895	2723	316
896	2727	313
897	2729	310
898	2732	306
899	2735	303
900	2738	300
901	2741	297
902	2744	294
903	2747	291
904	2749	288
905	2753	285
906	2757	282
907	2759	279
908	2762	276
909	2765	273
910	2767	270
911	2770	267
912	2773	264
913	2776	261
914	2779	258
915	2781	255
916	2784	252
917	2786	248
918	2789	245
919	2792	242
920	2795	239
921	2797	236
922	2800	233
923	2803	230
924	2806	227
925	2809	224
926	2811	221
927	2814	218
928	2817	215
929	2820	212
930	2824	209
931	2827	206
932	2830	203
933	2833	200
934	2836	197
935	2839	194
936	2843	191
937	2845	188
938	2848	185
939	2851	181
940	2854	178
941	2857	175
942	2860	172
943	2863	169
944	2866	166
945	2869	163
946	2871	160
947	2875	157
948	2878	154
949	2880	151
950	2883	148
951	2886	145
952	2889	142
953	2893	139
954	2897	136
955	2900	133
956	2903	130
957	2906	127
958	2909	124
959	2912	121
960	2915	118
961	2918	115
962	2922	112
963	2925	109
964	2928	106
965	2932	103
966	2935	100
967	2937	97
968	2940	94
969	2944	91
970	2947	88
971	2950	85
972	2953	81
973	2956	78
974	2960	75
975	2962	72
976	2965	69
977	2969	66
978	2971	63
979	2974	60
980	2977	57
981	2980	54
982	2983	51
983	2986	48
984	2988	45
985	2991	42
986	2994	39
987	2997	36
988	2999	33
989	3002	30
990	3005	27
991	3009	24
992	3012	21
993	3014	18
994	3017	15
995	3020	12
996	3023	9
997	3025	6
998	3029	3
999	3033	0
